"``mmif-python`` version","Target MMIF Specification"
1.0.12,"1.0.4"
1.0.11,"1.0.4"
1.0.10.dev1,"1.0.3"
1.0.10,"1.0.2"
1.0.9,"1.1.0"
1.0.8,"1.0.0"
1.0.7,"1.0.0"
1.0.6,"1.0.0"
1.0.5,"1.0.0"
1.0.4,"1.0.0"
1.0.3,"1.0.0"
1.0.2,"1.0.0"
1.0.1,"1.0.0"
1.0.0,"0.5.0"
0.5.2,"0.5.0"
0.5.1,"0.5.0"
0.5.0,"0.5.0"
0.4.8,"0.4.2"
0.4.7,"0.4.1"
0.4.6,"0.4.0"
0.4.5,"0.4.0"
0.4.4,"0.4.0"
0.4.3,"0.4.0"
0.4.2,"0.4.0"
0.4.1,"0.4.0"
0.4.0,"0.4.0"
0.3.5,"0.3.1"
0.3.4,"0.3.1"
0.3.3,"0.3.1"
0.3.2,"0.3.1"
0.3.1,"0.3.0"
0.3.0,"0.3.0"
0.2.2,"0.2.1"
0.2.1,"0.2.1"
0.2.0,"0.2.1"
